Zeit mit verbringt	spend time with
"<strong>aussehen</strong> <br><br> <span style='font-size:75%'>aussehen (intransitive verb) <br>• <span class=""example"">seh&#39; ich so [<span class=""or""><acronym title=""oder"">o.</acronym></span> danach] aus?</span><br>• <span class=""example"">du siehst mir gerade danach aus!</span> <span class=""rhetoric""><acronym title=""ironic"">iron</acronym></span><br>• <span class=""example"">du siehst gut/gesund/schick aus</span><br>• <span class=""example"">heute sieht es regnerisch aus</span><br>• <span class=""example"">so siehst du [gerade] aus!</span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""grammatical_construction"">
                  <strong class=""tilde"">aussehen</strong> wie ...</span><br>• <span class=""example"">und wie sieht es bei euch aus?</span><br>• <strong class=""headword"">aussehen</strong><br>• <span class=""full_collocation"">wie sieht&#39;s aus?</span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""full_collocation"">es sieht [<acronym title=""jemandem"">jdm</acronym>] danach [<span class=""or""><acronym title=""oder"">o.</acronym></span> so] 
                  <strong class=""tilde"">aussehen</strong>, als ...</span><br>• <span class=""full_collocation"">es sieht gut/schlecht aus</span><br>• <span class=""full_collocation"">nach Schnee/Regen <strong class=""tilde"">aussehen
</strong>               </span><br>• <span class=""full_collocation"">nach etwas/nichts aussehen</span><br>• <span class=""example"">bei mir sieht es gut aus</span><br>• <span class=""full_collocation"">bei <acronym title=""jemandem"">jdm</acronym> sieht es gut/schlecht aus</span></span>"	"to look like<br><br> <span style='font-size:75%'>Automated translations:<br>• to look good/not look anything special<br>• to look as if it is going to snow/rain<br>• I bet!<br>• to look<br>• I&#39;m doing fine<br>• what do you take me for? <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• how&#39;s things? <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                  <span class=""region""><acronym title=""British English"" class=""Brit"">Brit</acronym></span> 
                  <span class=""style""><acronym title=""informal"">inf</acronym> <acronym title=""auch"">a.</acronym></span> tricks]</span><br>• you look great/healthy/smart<br>• to look like ...<br>• things are looking good/not looking too good<br>• to look/not look the part<br>• that&#39;s what you think! <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• I don&#39;t think so!<br>• it looks like rain today<br>• it looks  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> seems]</span>  [to <acronym title=""somebody"">sb</acronym>] as though  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> if]</span>  ...<br>• things are looking good/not looking too good for <acronym title=""somebody"">sb</acronym><br>• and how are things with you?</span>"
Wie sieht es bei dir aus?	How is it looking for you?
"<strong>bereit</strong> <br><br> <span style='font-size:75%'>bereit (adjective and adverb) <br>• <span class=""full_collocation"">sich <span class=""case""><acronym title=""accusative"">acc</acronym></span> [für [<span class=""or""><acronym title=""oder"">o.</acronym></span> zu] <acronym title=""etwas"">etw</acronym>] <strong class=""tilde"">bereit</strong> halten</span><br>• <span class=""grammatical_construction"">[für [<span class=""or""><acronym title=""oder"">o.</acronym></span> zu] <acronym title=""etwas"">etw</acronym>] <strong class=""tilde"">bereit</strong> sein</span><br>• <span class=""full_collocation"">sich <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
                  <strong class=""tilde"">bereit</strong> halten, <acronym title=""etwas"">etw</acronym> zu tun</span><br>• <span class=""example"">haltet euch für den Abmarsch <strong class=""tilde"">bereit!</strong></span><br>• <span class=""grammatical_construction"">[für [<span class=""or""><acronym title=""oder"">o.</acronym></span> zu] <acronym title=""etwas"">etw</acronym>] <strong class=""tilde"">bereit</strong> sein</span> <span class=""sense"">(vorbereitet)</span><br>• <span class=""grammatical_construction"">
                  <strong class=""tilde"">bereit</strong> sein, <acronym title=""etwas"">etw</acronym> zu tun</span><br>• <span class=""full_collocation"">eine Antwort/Ausrede <strong class=""tilde"">bereit</strong> haben</span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">bereit</strong> haben</span><br>• <span class=""grammatical_construction"">zu <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span> 
                  <strong class=""tilde"">bereit</strong> sein</span><br>• <span class=""full_collocation"">sich <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
                  <strong class=""tilde"">bereit</strong> erklären, <acronym title=""etwas"">etw</acronym> zu tun</span><br>• <span class=""full_collocation"">zum Nachgeben/zu Zugeständnissen <strong class=""tilde"">bereit</strong> sein</span></span>"	"ready<br><br> <span style='font-size:75%'>Automated translations:<br>• to be willing  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> prepared]</span>  to do <acronym title=""something"">sth</acronym><br>• get ready to march<br>• to have an answer/excuse ready <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> a ready answer/excuse]</span><br>• to agree to do <acronym title=""something"">sth</acronym><br>• to be prepared to yield/to make concessions<br>• to be prepared for <acronym title=""something"">sth</acronym><br>• to be ready to do <acronym title=""something"">sth</acronym><br>• to be ready [for <acronym title=""something"">sth</acronym>]<br>• to have <acronym title=""something"">sth</acronym> at the ready<br>• to be ready  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> prepared]</span>  [for <acronym title=""something"">sth</acronym>]</span>"
"<strong>solche</strong> <br><br> <span style='font-size:75%'>solche (adjective and adverb) <br>• <strong class=""headword"">solche</strong> <span class=""sense"">(solche Menschen)</span><br>• <strong class=""headword"">solche</strong> <span class=""sense"">(ein solcher Mensch)</span><br>• <span class=""example"">
                  <strong class=""tilde"">solche</strong> wie wir</span><br>• <span class=""example"">es gibt <strong class=""tilde"">solche</strong> und <strong class=""tilde"">solche</strong> Kunden</span><br>• <span class=""example"">der Mensch als <strong class=""tilde"">solcher</strong></span><br>• <span class=""example"">sie hatte <strong class=""tilde"">solche</strong> Angst ...</span><br>• <span class=""full_collocation"">nicht ein <strong class=""tilde"">solcher</strong>/eine <strong class=""tilde"">solche</strong> sein</span><br>• <span class=""full_collocation"">als <strong class=""tilde"">solche(r, s)</strong></span><br>• <strong class=""headword"">solche</strong><br>• <span class=""example"">
                  <strong class=""tilde"">solche</strong>, denen man nichts recht machen kann</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">solche</strong> Frechheit</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">solche</strong> Frauen</span></span>"	"such<br><br> <span style='font-size:75%'>Automated translations:<br>• such a person<br>• people for whom one can do nothing right<br>• such women<br>• such<br>• not to be of that ilk <span class=""rhetoric""><acronym title=""auch"">a.</acronym> <acronym title=""pejorative"">pej</acronym></span><br>• there are customers and customers<br>• a person like this/that<br>• women like that<br>• she was so afraid ...<br>• people like that<br>• people like us<br>• in itself<br>• not to be like that<br>• as such<br>• such impertinence<br>• man as such<br>• such people</span>"
"<strong>Herkunft</strong> <br><br> <span style='font-size:75%'>Herkunft (noun) <br>• <strong class=""headword"">Herkunft</strong><br>• <span class=""example"">dieses Wort ist von unklarer <strong class=""tilde"">Herkunft
</strong>            </span><br>• <span class=""full_collocation"">von ... <strong class=""tilde"">Herkunft</strong> sein</span> <span class=""sense"">(Ursprung)</span><br>• <span class=""full_collocation"">von ... <strong class=""tilde"">Herkunft</strong> sein</span><br>• <span class=""example"">er ist von bäuerlicher <strong class=""tilde"">Herkunft
</strong>            </span><br>• <span class=""example"">ihrer <strong class=""tilde"">Herkunft</strong> nach ist sie Baskin</span></span>"	"origin<br><br> <span style='font-size:75%'>Automated translations:<br>• background<br>• to be of ... origin <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> stock]</span><br>• he comes from a family of farmers<br>• she is of Basque descent <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> extraction]</span><br>• origin<br>• to have a/an ... origin<br>• descent<br>• origins <span class=""info""><acronym title=""plural"">pl</acronym></span><br>• this word has an unclear origin</span>"
"<strong>rücksicht</strong> <br><br> <span style='font-size:75%'>Rücksicht (noun) <br>• <span class=""full_collocation"">
               <strong class=""tilde"">Rücksicht</strong> [auf <acronym title=""jemanden"">jdn</acronym>] nehmen</span><br>• <span class=""full_collocation"">ohne <strong class=""tilde"">Rücksicht</strong> auf Verluste</span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""full_collocation"">ohne <strong class=""tilde"">Rücksicht</strong> auf <acronym title=""jemanden"">jdn</acronym>/<acronym title=""etwas"">etw</acronym></span><br>• <span class=""full_collocation"">aus [<span class=""or""><acronym title=""oder"">o.</acronym></span> mit] 
               <strong class=""tilde"">Rücksicht</strong> auf <acronym title=""jemanden"">jdn</acronym>/<acronym title=""etwas"">etw</acronym></span><br>• <span class=""full_collocation"">keine <strong class=""tilde"">Rücksicht</strong> kennen</span><br>• <strong class=""headword"">Rücksicht</strong><br>• <span class=""full_collocation"">
               <strong class=""tilde"">Rücksicht</strong> auf <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span> nehmen</span><br>• <span class=""full_collocation"">aus moralischen <strong class=""tilde"">Rücksichten</strong></span></span>"	"considerate<br><br> <span style='font-size:75%'>Automated translations:<br>• to take <acronym title=""something"">sth</acronym> into consideration<br>• out of consideration for <acronym title=""somebody"">sb</acronym>/<acronym title=""something"">sth</acronym><br>• regardless of  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> without regard to]</span>  losses<br>• to be ruthless<br>• with no consideration for <acronym title=""somebody"">sb</acronym>/<acronym title=""something"">sth</acronym><br>• consideration <span class=""info"">no <acronym title=""article"">art</acronym>, no <acronym title=""plural"">pl</acronym></span><br>• considerations <span class=""info""><acronym title=""plural"">pl</acronym></span><br>• for moral reasons<br>• to show consideration [for <acronym title=""somebody"">sb</acronym>]</span>"
"<strong>verwenden</strong> <br><br> <span style='font-size:75%'>verwenden (transitive verb) <br>• <span class=""full_collocation"">verwendet oder verbraucht</span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">verwenden
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> [für <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span>] <strong class=""tilde"">verwenden
</strong>               </span><br>• <span class=""grammatical_construction"">verwendet</span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> ist noch zu <strong class=""tilde"">verwenden
</strong>               </span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> vor Gericht <strong class=""tilde"">verwenden
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> für <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span>/irgendwie <strong class=""tilde"">verwenden
</strong>               </span><br>• <span class=""full_collocation"">nicht mehr verwendet</span></span>"	"to use/to utilize/to employ<br><br> <span style='font-size:75%'>Automated translations:<br>• to make use of <acronym title=""something"">sth</acronym><br>• <acronym title=""something"">sth</acronym> can still be used <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> is still usable]</span><br>• to use <acronym title=""something"">sth</acronym> in court<br>• to use  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> employ]</span>  <acronym title=""something"">sth</acronym> for <acronym title=""something"">sth</acronym>/somehow<br>• applied<br>• disused<br>• to use <acronym title=""something"">sth</acronym> [for <acronym title=""something"">sth</acronym>]<br>• applied or used</span>"
"<strong>Gehalt</strong> <br><br> <span style='font-size:75%'>Gehalt (noun) <br>• <span class=""full_collocation"">ein <strong class=""tilde"">Gehalt</strong> beziehen</span><br>• <span class=""full_collocation"">festes <strong class=""tilde"">Gehalt
</strong>               </span><br>• <strong class=""headword"">Gehalt</strong></span>"	"salary<br><br> <span style='font-size:75%'>Automated translations:<br>• to draw  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> receive]</span>  a salary<br>• fixed  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> stated]</span>  salary<br>• pay <span class=""info"">no <acronym title=""indefinite"">indef</acronym> <acronym title=""article"">art</acronym>, no <acronym title=""plural"">pl</acronym></span><br>• salary</span>"
spielt eine große Rolle	plays a big role
"<strong>ich bin hin und her gerissen</strong> <br><br> <span style='font-size:75%'>hin- und herfahren (intransitive verb) <br>• <strong class=""headword"">hin- und herfahren</strong></span>"	"I am going here and there/back and forth<br><br> <span style='font-size:75%'>Automated translations:<br>• to travel back and forth <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> to and fro]</span></span>"
"<strong>beweisen</strong> <br><br> <span style='font-size:75%'>beweisen (transitive verb) <br>• <span class=""full_collocation"">was zu <strong class=""tilde"">beweisen</strong> war</span><br>• <span class=""grammatical_construction"">[<acronym title=""jemandem"">jdm</acronym>] <acronym title=""etwas"">etw</acronym> <strong class=""tilde"">beweisen
</strong>               </span><br>• <span class=""full_collocation"">was [noch] zu <strong class=""tilde"">beweisen</strong> wäre</span><br>• <span class=""example"">der Angeklagte ist unschuldig, bis das Gegenteil bewiesen wird</span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">beweisen
</strong>               </span><br>• <span class=""grammatical_construction"">
                  <strong class=""tilde"">beweisen</strong>, dass/wie ...</span></span>"	"to provide<br><br> <span style='font-size:75%'>Automated translations:<br>• to display  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> show]</span>  <acronym title=""something"">sth</acronym><br>• to prove <acronym title=""something"">sth</acronym> [to <acronym title=""somebody"">sb</acronym>]<br>• which remains to be proved<br>• to demonstrate <acronym title=""something"">sth</acronym><br>• which was [the thing] to be proved<br>• to show that/how ...<br>• quod erat demonstrandum<br>• the defendant  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> accused]</span>  is innocent until proven guilty</span>"
"<strong>jedenfall</strong> <br><br> <span style='font-size:75%'>jedenfalls (adverb) <br>• <span class=""example"">egal, was du als Entschuldigung vorbringst, es war <strong class=""tilde"">jedenfalls</strong> nicht richtig von dir</span><br>• <strong class=""headword"">jedenfalls</strong><br>• <span class=""example"">
               <strong class=""tilde"">jedenfalls</strong> weiß ich davon!</span></span>"	anyway<br><br> <span style='font-size:75%'>Automated translations:<br>• in any case<br>• I know about it anyway!<br>• it doesn&#39;t matter what excuse you&#39;ve got, in any event it was wrong of you<br>• at any rate<br>• anyhow<br>• nevertheless</span>
Wert legen auf	is important to me/value + something
"<strong>Überstunden</strong> <br><br> <span style='font-size:75%'>Überstunde (noun) <br>• <span class=""full_collocation"">
                  <strong class=""tilde"">Überstunden</strong> machen</span><br>• <span class=""grammatical_construction"">
                  <strong class=""tilde"">Überstunden</strong></span><br>• <span class=""full_collocation"">geleistete <strong class=""tilde"">Überstunden</strong></span><br>• <strong class=""headword"">Überstunde</strong></span>"	"overtime<br><br> <span style='font-size:75%'>Automated translations:<br>• extra hour<br>• to do  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> work]</span>  overtime<br>• hour of overtime<br>• overtime worked<br>• overtime <span class=""info"">no <acronym title=""plural"">pl</acronym></span></span>"
unter Druck arbeiten	work under pressure
"<strong>Sorge</strong> <br><br> <span style='font-size:75%'>Sorge (noun) <br>• <span class=""full_collocation"">[keine] <strong class=""tilde"">Sorge</strong> haben, dass/ob/wie ...</span><br>• <span class=""full_collocation"">die elterliche <strong class=""tilde"">Sorge</strong> ausüben</span><br>• <span class=""example"">wir haben uns solche <strong class=""tilde"">Sorgen</strong> gemacht!</span><br>• <strong class=""headword"">Sorge</strong> <span class=""complement"">um</span> <span class=""object-case"">+<acronym title=""dative"">dat</acronym></span><br>• <span class=""full_collocation"">ständig/nur/nichts als <strong class=""tilde"">Sorgen</strong> [mit <acronym title=""jemandem"">jdm</acronym>/<acronym title=""etwas"">etw</acronym>] haben</span><br>• <span class=""full_collocation"">für <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
                  <strong class=""tilde"">Sorge</strong> tragen</span> <span class=""style""><acronym title=""formal language"">form</acronym></span><br>• <span class=""full_collocation"">mit <strong class=""tilde"">Sorge
</strong>               </span><br>• <span class=""full_collocation"">in <strong class=""tilde"">Sorge</strong> sein[, dass ...]</span><br>• <span class=""example"">das ist meine geringste <strong class=""tilde"">Sorge
</strong>               </span><br>• <strong class=""headword"">Sorge</strong><br>• <span class=""example"">dass ..., macht mir <strong class=""tilde"">Sorgen</strong></span><br>• <span class=""full_collocation"">dafür <strong class=""tilde"">Sorge</strong> tragen, dass ...</span> <span class=""style""><acronym title=""formal language"">form</acronym></span><br>• <span class=""example"">diese <strong class=""tilde"">Sorge</strong> bist du los!</span><br>• <span class=""full_collocation""><acronym title=""jemanden"">jdn</acronym> in <strong class=""tilde"">Sorge</strong> versetzen</span><br>• <span class=""full_collocation""><acronym title=""jemandem"">jdm</acronym> <strong class=""tilde"">Sorgen</strong> machen</span> <span class=""full_collocation"">[<span class=""or""><acronym title=""oder"">o.</acronym></span> bereiten]</span><br>• <span class=""full_collocation"">eine große <strong class=""tilde"">Sorge
</strong>               </span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">Sorgen</strong> mit sich <span class=""case""><acronym title=""dative"">dat</acronym></span> herumtragen</span><br>• <span class=""example"">du hast/ihr habt <strong class=""tilde"">Sorgen!</strong></span>, <span class=""example"">
                   <strong class=""tilde"">Sorgen</strong> hast du/habt ihr!</span> <span class=""rhetoric""><acronym title=""ironic"">iron</acronym></span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""example"">keine <strong class=""tilde"">Sorge!</strong></span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""example"">sei/seien Sie ohne <strong class=""tilde"">Sorge!</strong></span> <span class=""style""><acronym title=""formal language"">form</acronym></span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">Sorge</strong> weniger</span><br>• <span class=""full_collocation"">es macht <acronym title=""jemandem"">jdm</acronym> <strong class=""tilde"">Sorgen</strong>, dass ...</span><br>• <span class=""full_collocation"">sich <span class=""case""><acronym title=""dative"">dat</acronym></span> [wegen einer <acronym title=""Sache"">S.</acronym> <span class=""case""><acronym title=""genitive"">gen</acronym></span>/einer Person] <strong class=""tilde"">Sorgen</strong> machen</span><br>• <span class=""example"">machen Sie sich deswegen keine <strong class=""tilde"">Sorgen!</strong></span><br>• <span class=""example"">lassen Sie das meine <strong class=""tilde"">Sorge</strong> sein!</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">Sorgen</strong> haben</span><br>• <span class=""example"">deine <strong class=""tilde"">Sorgen</strong> möchte ich haben!</span> <span class=""rhetoric""><acronym title=""ironic"">iron</acronym></span> <span class=""style""><acronym title=""informal"">inf</acronym></span></span>"	"worries<br><br> <span style='font-size:75%'>Automated translations:<br>• a serious worry<br>• I wish I had your problems! <span class=""rhetoric""><acronym title=""ironic"">iron</acronym></span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• don&#39;t [you] worry<br>• to exercise parental care and custody<br>• to be worried [that ...]<br>• to worry [about <acronym title=""somebody"">sb</acronym>/<acronym title=""something"">sth</acronym>]<br>• you&#39;re rid of that worry<br>• care<br>• you call that worries  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> problems]</span> ? <span class=""style""><acronym title=""informal"">inf</acronym></span> <span class=""rhetoric""><acronym title=""ironic"">iron</acronym></span><br>• we were so worried<br>• don&#39;t worry about that<br>• one less thing to worry about<br>• [not] to be worried that/as to whether/as to how ...<br>• to have problems<br>• it worries me that ...<br>• that&#39;s the least of my worries<br>• to take care of <acronym title=""something"">sth</acronym><br>• [the fact] that ... worries me<br>• it worries <acronym title=""somebody"">sb</acronym> that ...<br>• to worry <acronym title=""somebody"">sb</acronym><br>• to be weighed down with problems<br>• do not fear <span class=""style""><acronym title=""literary"">liter</acronym></span> <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> worry]</span><br>• to attend  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> see]</span>  to <acronym title=""something"">sth</acronym><br>• worry <span class=""complement"">for</span><br>• you think you&#39;ve got troubles  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> problems]</span> ! <span class=""rhetoric""><acronym title=""ironic"">iron</acronym></span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• to cause <acronym title=""somebody"">sb</acronym> a lot of worry<br>• to have constant/nothing but trouble [with <acronym title=""somebody"">sb</acronym>/<acronym title=""something"">sth</acronym>]<br>• let me worry about that<br>• to be worried<br>• to see to it  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> to ensure]</span>  that ...<br>• with concern</span>"
tätig sein als	employed as
"<strong>dolmetschen</strong> <br><br> <span style='font-size:75%'>dolmetschen (intransitive verb) <br>• <strong class=""headword"">dolmetschen</strong></span>"	to interpret<br><br> <span style='font-size:75%'>Automated translations:<br>• to interpret<br>• to act as interpreter</span>
"<strong>Schichtarbeit, in Schichten arbeiten</strong> <br><br> <span style='font-size:75%'>Schichtarbeit (noun) <br>• <strong class=""headword"">Schichtarbeit</strong></span>"	"Shift work, in shifts working<br><br> <span style='font-size:75%'>Automated translations:<br>• shift work <span class=""info"">no <acronym title=""plural"">pl</acronym></span></span>"
"<strong>außer, Dativ</strong> <br><br> <span style='font-size:75%'>außer (preposition) <br>• <strong class=""headword"">außer</strong><br>• <span class=""example"">
                  <strong class=""tilde"">außer</strong> ihrer eigenen Arbeit musste sie noch die seinige erledigen</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">außer</strong> Betrieb/Sicht/Gefahr sein</span><br>• <span class=""idiom_proverb"">[über <acronym title=""jemanden"">jdn</acronym>/<acronym title=""etwas"">etw</acronym>] <strong class=""tilde"">außer</strong> sich <span class=""case""><acronym title=""dative"">dat</acronym></span> sein</span><br>• <span class=""example"">
                  <strong class=""tilde"">außer</strong> dir waren alle auf dem Fest</span></span>"	"except<br><br> <span style='font-size:75%'>Automated translations:<br>• to be out of order/sight/danger<br>• everyone was at the party but  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> apart from]</span>  you<br>• out of<br>• apart from<br>• in addition to<br>• to be beside oneself [about <acronym title=""somebody"">sb</acronym>/<acronym title=""something"">sth</acronym>]<br>• she had to do his work as well as her own<br>• except for</span>"
"<strong>Leistung</strong> <br><br> <span style='font-size:75%'>Leistung (noun) <br>• <span class=""full_collocation"">eine hervorragende/sportliche <strong class=""tilde"">Leistung
</strong>               </span><br>• <strong class=""headword"">Leistung</strong><br>• <strong class=""headword"">Leistung</strong> <span class=""sense"">(Tätigkeit)</span><br>• <span class=""full_collocation"">berufstypische/charakteristische <strong class=""tilde"">Leistung
</strong>               </span><br>• <span class=""full_collocation"">reife <strong class=""tilde"">Leistung!</strong></span> <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• <span class=""full_collocation"">soziale <strong class=""tilde"">Leistungen</strong></span><br>• <span class=""example"">ihre <strong class=""tilde"">Leistungen</strong> lassen zu wünschen übrig</span><br>• <span class=""full_collocation"">unentgeltliche <strong class=""tilde"">Leistung
</strong>               </span><br>• <span class=""full_collocation"">freiwillige betriebliche <strong class=""tilde"">Leistungen</strong></span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">Leistung</strong> an Erfüllungs statt</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">Leistung</strong> pro Arbeitsstunde</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">Leistungen</strong> des Bauhauptgewerbes</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">Leistungen</strong> der Sozialversicherung</span><br>• <span class=""full_collocation"">vermögenswirksame <strong class=""tilde"">Leistung
</strong>               </span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">Leistung</strong> vor Fälligkeit</span> <span class=""topic""><acronym title=""finance"">FIN</acronym></span><br>• <strong class=""headword"">Leistung</strong> <span class=""sense"">(Produktivität)</span> <span class=""collocator"">Fabrik</span><br>• <span class=""full_collocation"">nach <strong class=""tilde"">Leistung
</strong>               </span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">Leistung</strong> Zug um Zug</span><br>• <span class=""example"">sie bezieht seit Jahren staatliche <strong class=""tilde"">Leistungen</strong></span><br>• <strong class=""headword"">Leistung</strong> <span class=""sense"">(Stand)</span><br>• <span class=""full_collocation"">schulische <strong class=""tilde"">Leistungen</strong></span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">Leistungen</strong> im Krankheitsfall</span></span>"	"Performance<br><br> <span style='font-size:75%'>Automated translations:<br>• sickness benefits <span class=""region""><acronym title=""British English"" class=""Brit"">Brit</acronym></span><br>• social security  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                     <span class=""region""><acronym title=""American English"" class=""Am"">Am</acronym></span> public assistance]</span>  benefits<br>• accomplishment<br>• capital-forming payment<br>• her work leaves a lot to be desired<br>• based on performance <span class=""info""><acronym title=""predicative"">pred</acronym></span><br>• performance in full discharge of the obligation<br>• performance-based<br>• investment in building<br>• production capacity<br>• she has been receiving state benefits for years<br>• not bad! <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• characteristic performance<br>• power<br>• output per man-hour<br>• performance<br>• output<br>• results  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> performance]</span>  at school<br>• fringe benefits<br>• contemporaneous performance<br>• an outstanding piece of work/athletic achievement<br>• allowance <span class=""region""><acronym title=""American English"" class=""Am"">Am</acronym></span><br>• payment<br>• efficiency<br>• service<br>• benefit<br>• performance prior to maturity<br>• gratuitous services</span>"
