"<strong>Angestellte</strong> <br><br> <span style='font-size:75%'>Angestellte(r) (noun) <br>• <strong class=""headword"">Angestellte(r)</strong></span>"	employees<br><br> <span style='font-size:75%'>Automated translations:<br>• [salaried] employee<br>• white-collar worker</span>
                     <span class=""info""><acronym title=""separable"">sep</acronym></span> knock up]</span>  <acronym title=""something"">sth</acronym><br>• to knit stockinette stitch <span class=""region""><acronym title=""besonders"">bes.</acronym> <acronym title=""American English"" class=""Am"">Am</acronym></span><br>• to smooth  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> pat]</span>  down one&#39;s hair <span class=""info""><acronym title=""separable"">sep</acronym></span><br>• to brush smooth<br>• sheer  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> utter]</span>  nonsense<br>• clean-shaven<br>• to file <acronym title=""something"">sth</acronym> smooth<br>• to work out exactly<br>• slick<br>• [to get] an A/E <span class=""region""><acronym title=""British English"" class=""Brit"">Brit</acronym></span> <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                  <span class=""region""><acronym title=""American English"" class=""Am"">Am</acronym></span> an A/F]</span><br>• icey<br>• a clean break<br>• to smooth out <acronym title=""something"">sth</acronym><br>• to smooth out <acronym title=""something"">sth</acronym> <span class=""info""><acronym title=""separable"">sep</acronym></span><br>• sheer<br>• straight hair<br>• to knit stocking stitch<br>• to flatten <acronym title=""something"">sth</acronym><br>• an unlined face<br>• to stir <acronym title=""something"">sth</acronym> until smooth<br>• slippery<br>• merry<br>• jolly</span>"
"<strong>rau</strong> <br><br> <span style='font-size:75%'>rau (adjective and adverb) <br>• <span class=""full_collocation"">
                  <strong class=""tilde"">raue</strong> Lippen</span><br>• <strong class=""headword"">rau</strong><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">raue</strong> Hände/Haut/<strong class=""tilde"">rauer</strong> Stoff</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">raue</strong> Stimme</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">raues</strong> Benehmen/<strong class=""tilde"">raue</strong> Sitten</span><br>• <span class=""full_collocation"">eine <strong class=""tilde"">raue</strong> Gegend</span></span>"	"rough<br><br> <span style='font-size:75%'>Automated translations:<br>• chapped lips<br>• sore<br>• harsh<br>• a hoarse  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> husky]</span>  voice<br>• rough hands/skin/material<br>• uncouth behaviour  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                     <span class=""region""><acronym title=""American English"" class=""Am"">Am</acronym></span> -or]</span> /manners<br>• rough<br>• raw<br>• a bleak  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> an inhospitable]</span>  region</span>"
"<strong>empfindlich</strong> <br><br> <span style='font-size:75%'>empfindlich (adjective and adverb) <br>• <strong class=""headword"">empfindlich</strong> <span class=""sense"">(reizbar)</span><br>• <span class=""full_collocation""><acronym title=""jemanden"">jdn</acronym> an seiner <strong class=""tilde"">empfindlichen</strong> Stelle treffen</span><br>• <strong class=""headword"">empfindlich</strong> <span class=""collocator"">Gesundheit</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">empfindlicher</strong> Film</span><br>• <strong class=""headword"">empfindlich</strong><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">empfindliche</strong> Haut</span><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">empfindlich</strong> gegen Kälte</span><br>• <span class=""example"">in dieser Gelegenheit ist sie sehr <strong class=""tilde"">empfindlich
</strong>               </span><br>• <strong class=""headword"">empfindlich</strong> <span class=""complement"">gegen</span> <span class=""object-case"">+<acronym title=""accusative"">acc</acronym></span></span>"	"Sensitive/delicate<br><br> <span style='font-size:75%'>Automated translations:<br>• oversensitive<br>• sensitive to cold<br>• film with high light sensitivity<br>• delicate  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> sensitive]</span>  skin<br>• higher speed film<br>• touchy<br>• sensitive <span class=""complement"">to</span><br>• she&#39;s very touchy in this matter<br>• delicate<br>• to touch <acronym title=""somebody's"">sb's</acronym> sore spot<br>• sensitive</span>"
"<strong>zerbrechlich</strong> <br><br> <span style='font-size:75%'>zerbrechlich (adjective and adverb) <br>• <span class=""example"">Vorsicht, <strong class=""tilde"">zerbrechlich
</strong>            </span><br>• <strong class=""headword"">zerbrechlich</strong></span>"	fragile<br><br> <span style='font-size:75%'>Automated translations:<br>• fragile<br>• fragile, handle with care<br>• frail</span>
"<strong>stabil</strong> <br><br> <span style='font-size:75%'>stabil (adjective and adverb) <br>• <span class=""full_collocation"">
               <strong class=""tilde"">stabile</strong> Gesundheit/Konstitution</span><br>• <strong class=""headword"">stabil</strong></span>"	sturdy/stable<br><br> <span style='font-size:75%'>Automated translations:<br>• steady<br>• sturdy<br>• sound health/constitution<br>• stable</span>
"<strong>eckig</strong> <br><br> <span style='font-size:75%'>eckig (adjective and adverb) <br>• <strong class=""headword"">eckig</strong> <span class=""sense"">(verwinkelt)</span><br>• <span class=""full_collocation"">ein <strong class=""tilde"">eckiges</strong> Gesicht</span><br>• <span class=""full_collocation"">mit <strong class=""tilde"">eckigen</strong> Bewegungen gehen</span><br>• <strong class=""headword"">eckig</strong></span>"	"Square, angular<br><br> <span style='font-size:75%'>Automated translations:<br>• to walk jerkily <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> with a jerk]</span><br>• an angular face<br>• square<br>• rough<br>• jerky<br>• angular</span>"
"<strong>platzsparend</strong> <br><br> <span style='font-size:75%'>raumsparend (adjective and adverb) <br>• <strong class=""headword"">raumsparend</strong></span>"	"Compact/space-saving<br><br> <span style='font-size:75%'>Automated translations:<br>• space-saving <span class=""info""><acronym title=""attributive"">attr</acronym></span></span>"
"<strong>sperrig</strong> <br><br> <span style='font-size:75%'>sperrig (adjective and adverb) <br>• <strong class=""headword"">sperrig</strong></span>"	large/bulky<br><br> <span style='font-size:75%'>Automated translations:<br>• bulky<br>• unwieldy<br>• uncooperative</span>
Ich bin genauso wie du	I am just like you!
Mir geht es genauso wie dir	It goes for me just like it does for you.
"<strong>gebraucht</strong> <br><br> <span style='font-size:75%'>gebraucht (adjective and adverb) <br>• <strong class=""headword"">gebraucht</strong></span>"	second-hand/used<br><br> <span style='font-size:75%'>Automated translations:<br>• second-hand</span>
es kommt nicht oft vor	it doesn't happen often
Sie hatten in der zeit	Stood the test of time
Einselkind	only child
"<strong>übertragen</strong> <br><br> <span style='font-size:75%'>übertragen (transitive verb) <br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> in <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
                  <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> [auf <acronym title=""jemanden"">jdn</acronym>] <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""jemandem"">jdm</acronym> ein Recht <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""jemandem"">jdm</acronym> die Verantwortung <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""jemandem"">jdm</acronym> <acronym title=""etwas"">etw</acronym> <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> auf <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span>/in <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
                  <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> aus <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span> 
                  <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> wird von <acronym title=""jemandem"">jdm</acronym>/dem Tier auf <acronym title=""jemanden"">jdn</acronym>/das Tier <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> auf eine Kassette <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> wortwörtlich <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""jemandem"">jdm</acronym> <acronym title=""etwas"">etw</acronym> <strong class=""tilde"">übertragen
</strong>               </span> <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> auf <acronym title=""jemanden"">jdn</acronym>  <strong class=""tilde"">übertragen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> auf <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
                  <strong class=""tilde"">übertragen
</strong>               </span></span>"	"pass on/transmit<br><br> <span style='font-size:75%'>Automated translations:<br>• to do a literal translation of <acronym title=""something"">sth</acronym><br>• to translate  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                     <span class=""style""><acronym title=""formal language"">form</acronym></span> render]</span>  <acronym title=""something"">sth</acronym> from <acronym title=""something"">sth</acronym><br>• to entrust <acronym title=""somebody"">sb</acronym> with the responsibility<br>• to apply <acronym title=""something"">sth</acronym> to <acronym title=""something"">sth</acronym><br>• to translate <acronym title=""something"">sth</acronym><br>• to transfer <acronym title=""something"">sth</acronym> to/into <acronym title=""something"">sth</acronym><br>• to communicate  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                     <span class=""style""><acronym title=""formal language"">form</acronym></span> pass on <span class=""info""><acronym title=""separable"">sep</acronym></span>]</span>  <acronym title=""something"">sth</acronym> [to <acronym title=""somebody"">sb</acronym>]<br>• to translate  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                     <span class=""style""><acronym title=""formal language"">form</acronym></span> render]</span>  <acronym title=""something"">sth</acronym> into <acronym title=""something"">sth</acronym><br>• to vest <acronym title=""somebody"">sb</acronym> with <acronym title=""something"">sth</acronym> <span class=""style""><acronym title=""formal language"">form</acronym></span><br>• to transfer <acronym title=""something"">sth</acronym> to <acronym title=""somebody"">sb</acronym><br>• to tape <acronym title=""something"">sth</acronym><br>• to broadcast <acronym title=""something"">sth</acronym><br>• to record <acronym title=""something"">sth</acronym> on <acronym title=""something"">sth</acronym><br>• to assign <acronym title=""somebody"">sb</acronym> a right<br>• to record <acronym title=""something"">sth</acronym> on tape <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> cassette]</span><br>• to transfer a right to <acronym title=""somebody"">sb</acronym><br>• to transmit  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> transfer]</span>  <acronym title=""something"">sth</acronym> to <acronym title=""something"">sth</acronym><br>• <acronym title=""something"">sth</acronym> is communicated  <span class=""style""><acronym title=""formal language"">form</acronym></span>  
                   <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> passed on]</span>  from <acronym title=""somebody"">sb</acronym>/animal to <acronym title=""somebody"">sb</acronym>/animal<br>• to translate <acronym title=""something"">sth</acronym> word for word</span>"
"<strong>woraus</strong> <br><br> <span style='font-size:75%'>woraus (adverb) <br>• <strong class=""headword"">woraus</strong><br>• <span class=""example"">
                  <strong class=""tilde"">woraus</strong> auch immer dieses Gehäuse gefertigt ist, es ist sehr stabil</span><br>• <span class=""example"">
                  <strong class=""tilde"">woraus</strong> bestehen Rubine?</span><br>• <span class=""example"">
                  <strong class=""tilde"">woraus</strong> haben Sie das entnommen?</span><br>• <span class=""example"">es gab gewisse Anzeichen, <strong class=""tilde"">woraus</strong> das geschlossen werden konnte</span><br>• <span class=""example"">ich liebte das Buch, <strong class=""tilde"">woraus</strong> sie mir immer vorlas</span><br>• <span class=""example"">
                  <strong class=""tilde"">woraus</strong> sie das auch abgeschrieben hat, es ist gut</span><br>• <span class=""example"">das Material, <strong class=""tilde"">woraus</strong> die Socken bestehen, kratzt</span><br>• <span class=""example"">und <strong class=""tilde"">woraus</strong> schließen Sie das?</span></span>"	out of where/what?<br><br> <span style='font-size:75%'>Automated translations:<br>• out of what<br>• where did you get that from?<br>• from which<br>• I loved the book she always read out of<br>• whatever this shell is made of it&#39;s very robust<br>• the material the socks are made of is itchy<br>• wherever she copied this from it&#39;s good<br>• what are rubies made out of?<br>• and from what do you deduce that?<br>• what ... out of<br>• there were certain signs from which this could be deduced<br>• out of which</span>
"<strong>verbrauchen</strong> <br><br> <span style='font-size:75%'>verbrauchen (transitive verb) <br>• <span class=""full_collocation"">Vorräte <strong class=""tilde"">verbrauchen
</strong>               </span><br>• <span class=""full_collocation"">Lebensmittel <strong class=""tilde"">verbrauchen
</strong>               </span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">verbrauchen
</strong>               </span></span>"	"to consume<br><br> <span style='font-size:75%'>Automated translations:<br>• to spend <acronym title=""something"">sth</acronym><br>• to use up [one&#39;s] provisions<br>• to use up <acronym title=""something"">sth</acronym> <span class=""info""><acronym title=""separable"">sep</acronym></span><br>• to consume <acronym title=""something"">sth</acronym><br>• to eat  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> consume]</span>  food <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
                  <span class=""region""><acronym title=""British English"" class=""Brit"">Brit</acronym></span> foodstuffs]</span></span>"
"<strong>gleichzeitig</strong> <br><br> <span style='font-size:75%'>gleichzeitig (adjective and adverb) <br>• <strong class=""headword"">gleichzeitig</strong></span>"	simultaneously<br><br> <span style='font-size:75%'>Automated translations:<br>• simultaneous<br>• concurrent</span>
"<strong>kiffen</strong> <br><br> <span style='font-size:75%'>kiffen (intransitive verb) <br>• <strong class=""headword"">kiffen</strong></span>"	"to smoke weed<br><br> <span style='font-size:75%'>Automated translations:<br>• to smoke pot <span class=""style""><acronym title=""informal"">inf</acronym></span> <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
               <span class=""style""><acronym title=""informal"">inf</acronym></span> dope]</span> <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> 
               <span class=""style""><acronym title=""slang"">sl</acronym></span> grass]</span></span>"
Hanfplanze	hemp
"<strong>Mülltonne, e</strong> <br><br> <span style='font-size:75%'>Mülltonne (noun) <br>• <strong class=""headword"">Mülltonne</strong></span>"	"large trash can<br><br> <span style='font-size:75%'>Automated translations:<br>• garbage can <span class=""region""><acronym title=""American English"" class=""Am"">Am</acronym></span><br>• dustbin <span class=""region""><acronym title=""British English"" class=""Brit"">Brit</acronym></span></span>"
"<strong>Kaffeesatz</strong> <br><br> <span style='font-size:75%'>Kaffeesatz (noun) <br>• <span class=""full_collocation"">aus dem <strong class=""tilde"">Kaffeesatz</strong> wahrsagen</span><br>• <strong class=""headword"">Kaffeesatz</strong></span>"	"coffee grounds<br><br> <span style='font-size:75%'>Automated translations:<br>• to read the coffee grounds<br>• coffee grounds <span class=""info""><acronym title=""plural noun"">npl</acronym></span></span>"
"<strong>entstehen, durch, Akk,</strong> <br><br> <span style='font-size:75%'>entstehen (intransitive verb) <br>• <span class=""grammatical_construction"">[aus <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span>/durch <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""accusative"">acc</acronym></span>] <strong class=""tilde"">entstehen
					</strong>       </span><br>• <span class=""example"">aus diesem kleinen Pflänzchen wird ein großer Baum <strong class=""tilde"">entstehen
						</strong>         </span><br>• <span class=""example"">das Haus war in nur 8 Monaten entstanden</span><br>• <span class=""example"">
							           <strong class=""tilde"">entstehen</strong> mir irgendwelche Verpflichtungen?</span><br>• <span class=""example"">beträchtliche Unruhe entstand unter der Bevölkerung</span><br>• <span class=""full_collocation"">im <strong class=""tilde"">Entstehen</strong> begriffen sein</span> <span class=""style""><acronym title=""formal language"">form</acronym></span></span>"	"to originate from<br><br> <span style='font-size:75%'>Automated translations:<br>• to come into being [from <acronym title=""something"">sth</acronym>]<br>• to be created [from <acronym title=""something"">sth</acronym>]<br>• to be in the process of development <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> emerging]</span><br>• a great tree will grow from this sapling<br>• the house was built in only eight months<br>• am I committing myself to anything?<br>• to be produced [from/through/via <acronym title=""something"">sth</acronym>]<br>• considerable unrest arose amongst the people<br>• to arise  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> result]</span>  [from <acronym title=""something"">sth</acronym>]</span>"
"<strong>Geschirr</strong> <br><br> <span style='font-size:75%'>Geschirr (noun) <br>• <span class=""full_collocation"">das benutzte <strong class=""tilde"">Geschirr
</strong>            </span><br>• <span class=""example"">feuerfestes <strong class=""tilde"">Geschirr
</strong>            </span><br>• <strong class=""headword"">Geschirr</strong><br>• <span class=""grammatical_construction"">einem Tier <strong class=""tilde"">Geschirr</strong> anlegen</span><br>• <span class=""full_collocation"">das gute <strong class=""tilde"">Geschirr
</strong>            </span></span>"	"dishes (more general than Gerichte)<br><br> <span style='font-size:75%'>Automated translations:<br>• [tea/dinner] service<br>• the best china<br>• to harness an animal<br>• to put the harness on an animal<br>• the dirty crockery <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> dishes]</span><br>• crockery <span class=""info"">no <acronym title=""plural"">pl</acronym></span><br>• harness<br>• dishes <span class=""info""><acronym title=""plural"">pl</acronym></span><br>• ovenware</span>"
"<strong>giftigen</strong> <br><br> <span style='font-size:75%'>giftig (adjective and adverb) <br>• <strong class=""headword"">giftig</strong><br>• <span class=""full_collocation"">
                  <strong class=""tilde"">giftige</strong> Stoffe/Chemikalien</span></span>"	"poisonous<br><br> <span style='font-size:75%'>Automated translations:<br>• toxic  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> poisonous]</span>  substances/chemicals<br>• vitriolic<br>• garish<br>• venomous<br>• bilious <span class=""style""><acronym title=""literary"">liter</acronym></span><br>• loud <span class=""style""><acronym title=""informal"">inf</acronym></span><br>• poisonous</span>"
"<strong>vergiften</strong> <br><br> <span style='font-size:75%'>vergiften (transitive verb) <br>• <span class=""grammatical_construction"">sich <span class=""case""><acronym title=""accusative"">acc</acronym></span> 
                  <strong class=""tilde"">vergiften
</strong>               </span><br>• <span class=""full_collocation"">mit Kurare vergiftete Pfeile</span><br>• <span class=""grammatical_construction""><acronym title=""jemanden"">jdn</acronym>/ein Tier <strong class=""tilde"">vergiften
</strong>               </span><br>• <span class=""grammatical_construction"">[mit <acronym title=""etwas"">etw</acronym> <span class=""case""><acronym title=""dative"">dat</acronym></span>] vergiftet</span><br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">vergiften
</strong>               </span></span>"	"to poison<br><br> <span style='font-size:75%'>Automated translations:<br>• to poison <acronym title=""something"">sth</acronym><br>• to poison <acronym title=""somebody"">sb</acronym>/an animal<br>• arrows poisoned with curare<br>• poisoned [with <acronym title=""something"">sth</acronym>]<br>• to poison oneself</span>"
"<strong>vermeiden</strong> <br><br> <span style='font-size:75%'>vermeiden (transitive verb) <br>• <span class=""grammatical_construction""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">vermeiden
</strong>               </span><br>• <span class=""full_collocation"">sich <span class=""case""><acronym title=""accusative"">acc</acronym></span> nicht/kaum <strong class=""tilde"">vermeiden</strong> lassen</span><br>• <span class=""full_collocation"">es lässt sich nicht/kaum <strong class=""tilde"">vermeiden</strong>, dass ...</span></span>"	"to avoid<br><br> <span style='font-size:75%'>Automated translations:<br>• to be inevitable  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> unavoidable]</span> /almost inevitable <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> unavoidable]</span><br>• it is inevitable  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> unavoidable]</span> /almost inevitable  <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> unavoidable]</span>  that ...<br>• to avoid <acronym title=""something"">sth</acronym></span>"
"<strong>leidtun</strong> <br><br> <span style='font-size:75%'>leidtun (intransitive verb) <br>• <span class=""full_collocation"">der kann einem <strong class=""tilde"">leidtun
</strong>               </span> <span class=""rhetoric""><acronym title=""ironic"">iron</acronym></span><br>• <span class=""grammatical_construction""><acronym title=""jemand"">jd</acronym> tut <acronym title=""jemandem"">jdm</acronym> leid</span><br>• <span class=""full_collocation""><acronym title=""etwas"">etw</acronym> wird <acronym title=""jemandem"">jdm</acronym> noch <strong class=""tilde"">leidtun
</strong>               </span><br>• <span class=""example"">es tut mir/uns leid, aber ...</span><br>• <span class=""grammatical_construction""><acronym title=""jemandem"">jdm</acronym> tut <acronym title=""etwas"">etw</acronym> leid</span><br>• <span class=""grammatical_construction"">es tut <acronym title=""jemandem"">jdm</acronym> leid, dass ...</span><br>• <span class=""grammatical_construction"">es tut <acronym title=""jemandem"">jdm</acronym> leid um <acronym title=""jemanden"">jdn</acronym>/ein Tier</span><br>• <span class=""full_collocation"">tut mir leid!</span></span>"	"to pity/to feel sorry for<br><br> <span style='font-size:75%'>Automated translations:<br>• I&#39;m/we&#39;re sorry, but ...<br>• <acronym title=""somebody"">sb</acronym> is sorry about <acronym title=""something"">sth</acronym><br>• you can&#39;t help feeling sorry for him<br>• <acronym title=""somebody"">sb</acronym> will be sorry <span class=""target"">[<span class=""or""><acronym title=""or"">or</acronym></span> regret <acronym title=""something"">sth</acronym>]</span><br>• <acronym title=""somebody"">sb</acronym> is sorry that ...<br>• <acronym title=""somebody"">sb</acronym> feels sorry for <acronym title=""somebody"">sb</acronym>/an animal<br>• <acronym title=""somebody"">sb</acronym> feels sorry for <acronym title=""somebody"">sb</acronym><br>• [I&#39;m] sorry!</span>"
wasserfest	waterproof
"<strong>wasserdicht</strong> <br><br> <span style='font-size:75%'>wasserdicht (adjective and adverb) <br>• <strong class=""headword"">wasserdicht</strong><br>• <span class=""full_collocation"">eine <strong class=""tilde"">wasserdichte</strong> Uhr</span><br>• <span class=""idiom_proverb""><acronym title=""etwas"">etw</acronym> <strong class=""tilde"">wasserdicht</strong> machen</span> <span class=""style""><acronym title=""slang"">sl</acronym></span><br>• <span class=""full_collocation"">ein <strong class=""tilde"">wasserdichtes</strong> Alibi</span></span>"	"water resistant<br><br> <span style='font-size:75%'>Automated translations:<br>• a watertight alibi<br>• to make <acronym title=""something"">sth</acronym> watertight<br>• watertight<br>• a water-resistant watch</span>"
